Id,Comentario,Carga
11,"  ¿Se acuerdan cuanto TODOS nos escandalizábamos, incluso AMLO, cuando en el gobierno de Duarte les inyectaban agua a los niños con cancer en lugar de medicinas en Veracruz?, bueno pues con AMLO se suspendieron TODOS los tratamientos para los niños con cancer en TODO el país.",Negativo
12,"AMLO no se cansa de buscar culpables y enemigos políticos para explicarle a los mexicanos todo lo que está mal. Los que si se van a cansar, y pronto, son los mexicanos que buscan y necesitan UN PRESIDENTE DE SOLUCIONES, NO UN PRESIDENTE DE EXCUSAS.",Negativo
13," APOYO INCONDICIONAL para con nuestro presidente AMLO, único y verdadero gobernante que trabaja parq el bien de los mexicanos, viva AMLO,viva MORENA al 100% con nuestro presidente !",Positivo
14,"Yo No voté por AMLO en el 2006 gracias a la campaña de odio y miedo que hizo Felipe Calderón. Y ME ARREPIENTO genuinamente por haber sido tan ciega. Hoy México sería otro. El gobierno de AMLO no es perfecto, pero MIL VECES lo prefiero a poner el país en manos de un PRIANISTA.",Positivo
15,AMLO ya perdió Twitter. Benditas redes sociales. Que siga creyendo que tienen el apoyo del pueblo. En 5 años morena va para afuera. Tuvieron su chance y no llevan un año y ya sacaron el cobre. Cero preparación miles de caprichos de un hombre resentido.,Negativo
16, Amlo jamás podrá hacer una obra del nivel del NAICM. No tiene la capacidad.,Negativo
17,"  La izquierda mexicana es tan chafa que lleva gobernando la #CDMX más de 12 años (incluido #AMLO), y la alcaldesa le sigue echando la culpa a los gobiernos anteriores de su mediocridad.",Negativo
18," Los hijos de AMLO no trabajan, tienen guardaespaldas, viajan por el mundo, comen en Restaurantes de lujo, asisten a eventos deportivos en lugares exclusivos y compran su ropa en tiendas de prestigio. ¿No se sentirán bien pendejos los que defienden la austeridad del Mesias?",Negativo
19," Años de malos gobiernos provocaron la crisis actual que padecemos,en el gobierno de AMLO se están cambiando y atendiendo todo lo mal hecho para erradicar de raíz la corrupción inseguridad, colusión criminal ....con estrategias que requieren de la participación y apoyo de todos!",Positivo
20," AMLO quiere imponer semana laboral de 48 horas a burócratas. Va contra derechos sindicales, descanso y recreación...",Negativo
21,No cabe duda que el pueblo quiere y respeta mucho a su presidente @lopezobrador_ es la base de su apoyo ,Positivo
22,NADIE DIJO QUE SERÍA FACÍL. Decidimos confiar en un proyecto de nación y con ello comprometernos a transformar México. Andrés Manuel @lopezobrador_ necesita de su pueblo. La Cuarta la hacemos todas y todos.,Positivo
23,"A los que asumen que no queiro a México les aclaro. ¡AMO A MÉXICO! No estoy con @lopezobrador_ No se confundan, no estoy solo.",Negativo
24,"No nos está haciendo un favor. Alli estaban cuando @lopezobrador_ llegó. Parecen siglos y apenas son 5 meses. Dios, apiádate de él pronto.",Negativo
25,"  En las imágenes podemos apreciar al engendro que con sus largos tentáculos tiene atrapados y secuestrados absolutamente a todos los sectores dela Nación.Mírenlo cuidadosamente porque a eso nos enfrentamos parece invencible pero el primer paso está dado,AMLO está enfrentándolo",Positivo
26," Tal vez la persona que le dijo a @BeatrizGMuller que sabía cantar fue la misma que le dijo a @lopezobrador_ que podría dirigir el país. Los engañaron, estarían mejor en “La chingada “",Negativo
27,"Feliz nuevamente con mi familia. Misma mesa y mismo lugar. Ojalá y no se enojen porque estoy comiendo costilla de res. Los amo, amo mi país, mi gente, y a mi mejor presidente @lopezobrador_",Positivo
28," ¿Se acuerdan de AMLO siendo oposición? Los muertos de Peña, la mafia del poder, el PRIAN, si no puedes renuncia, etc. Pues igual. Entendía que su papel como opositor era ser crítico del gobierno. Aprendimos, así que váyanse acostumbrando.",Positivo
29,"  Caracoles Batman! van 11 mil 372 homicidios en los primeros 4 meses de la administración de @lopezobrador_ ¿Que tal funcionan la estrategia de ""abrazos"" del Presidente?, hagamos una comparación contra las administraciones anteriores...",Negativo
30,"La más reciente mentira que circula en redes. No, no son “los hijos” de @lopezobrador_ . Quien está de perfil no es “Andy” con bolsas de Hermès.’ Y el de la Foto ya los desmintió",Positivo
31," AMLO anda en el Jeta, nomas nos hace pasar vergüenzas ¿por qué no usa las camionetas blindadas? AMLO anda en las camionetas blindadas ¿ por qué no usa el Jeta? Así se las gasta la oposición pitera, bananera e incongruente.",Negativo
32,"  ""40 Años Luchando Bajo Las Inclemencias Del Tiempo Y Arriesgando La Vida Por Un México Mejor Y Más Justo. Para Que Unos Cuántos A La Primera De Cambios Y Desde La Comodidad De Su Sofa Digan - ""Me Arrepiento De Haber 'Votado' Por AMLO",Positivo
33,"¿A quién creerle? AMLO dice que se resolverá la violencia en 6 meses. Durazo que 3 años, máximo 6. Sandoval (SEDENA) que entre 10 y 15 años. @CuitlahuacGJ que con 500 vacas. A quién creerle? ¿De verdad no tienen ni idea ni plan ni cronograma entre los tres?",Negativo
34," Acostumbraba todas las mañanas a hablar por teléfono con mi Mamita, pero desde que el diktador Amloco es el Presidente, me dice: ""Hablamos al ratito no seas malita, estoy viendo la mañanera"", y pues ya no le llamo temprano. AMLO divide familias.",Negativo
35,"28.  Estos hdspm son capaces de todo, y más vale prevenir que lamentar. Tú dime quién no le va a tener miedo a éstos pinches delincuentes. Sí AMLO les está destruyendo el país que construyeron para ellos.",Negativo
36,"Con razón @VicenteFoxQue, sí tienes pura MÍERDA en el cerebro, como te exigimos que no escribas tantas pendejadas y difamaciones encontrá de AMLO, si tú cabeza llena de MÍERDA no te da para más",Positivo
37,"Dirán misa de Calderón, pero él tenía los pantalones que a AMLO le faltan para enfrentar los problemas del país, al menos jamás lo vi justificándose como éste hace cada mañana.",Negativo
38,"No sé ustedes, pero qué finalmente haya ganado @lopezobrador_ me hace sentir como si acabáramos de liberar al país de una ocupación militar de más de 70 años. Y pues sí.",Positivo
39,Yo tengo 22 años. Soy mujer y voté por @lopezobrador_ y no me arrepiento aún si no tomara las mejores decisiones. Veo a muchos hombres quejándose y arrepentidos de según haber votado por él.,Positivo
40," Hoy a @lopezobrador_ le exigieron justicia y seguridad en Minatitlán: ""Por eso estamos aquí"", dijo. Ya hubiera querido ver a @EPN ir a Tlatlaya, a Iguala, a Atenco...",Positivo
41,"  Los q critican a AMLO por ir a Minatitlán en suburban, deberían criticar mil veces primero a Yunes, Duarte, Calderón y Peña, porque por ellos la inseguridad está como esta Es donde no hay congruencia, pq si a los medios les interesara señalarían a los verdaderos responsables",Positivo
42,Apoyar a un hombre recto y que ama a mi nación es un privilegio @lopezobrador_,Positivo
43," No ha habido otro presidente en los tiempos modernos que haya conectado con la gente como @lopezobrador_ quien con sencillez, paciencia y ternura, escucha a cada ciudadano en sus necesidades. Ayudemos a AMLO en este arduo camino hacia la pacificacón de México",Positivo
44,"La convocatoria AMLO de denunciar a todos los que cambien su modo de vida como corruptos es igual a las acciones emprendidas por Hitler, Stalin, Castro y Chávez. Es una forma de confrontar a vecinos y familiares ¿Dónde queda el sistema garantista y el respeto a las libertades?",Negativo
45, No se puede acabar la violencia de décadas del PRI y PAN en 4 meses. Yo confío que AMLO acabará con la violencia en el país. ¿Ustedes en quién confían?,Positivo
46,"  Sí efectivamente para que NO SE MANCHE a México de sangre, AMLO ha propuesto una guardia nacional que brindará la justicia y paz que el País necesita. ¡Tienes TODO nuestro apoyo!",Positivo
47,Nadie dijo que sería fácil. Decidimos confiar en un proyecto de nación y con ello comprometernos a transformar México. @lopezobrador_ necesita de su pueblo. La Cuarta la hacemos todas y todos.,Positivo
48,Malditos prianistas que usaban un montón de camionetas y de seguridad pagada con NUESTROS impuestos. Lo bueno es que AMLO ya desapareció al EMP por que a él el pueblo bueno lo cuida.,Positivo
49,"  Todos ya habían votado a favor, hasta que diputados de #Morena meten dos reservas al último minuto, y ya no aprobaron las licencias laborales para padres con hijos con cáncer, que requieren cuidados especiales. @lopezobrador_ ¿Que tienes contra los niños?",Negativo
50,"  Ya casi 5 meses en el poder, los q votamos por AMLO sabemos q está trabajando por nosotros, por México, es honesto, no vendido.",Positivo
51,"AMLO no es un ciudadano normal ejerciendo su derecho de réplica respecto a lo que publica un medio de comunicación. Es el presidente. Tiene la responsabilidad de usar su plataforma para detener, no para fomentar, el hostigamiento.",Negativo
52," Acabo de ver una noticia que dice en México ya no podrán reprobar a niños de 1ro, 2do y 3er grado, solo con asistir a clases podrán pasar al próximo grado. De verdad que AMLO es Chávez con esteroides.",Negativo
53," Costará más cancelar que terminar el NAIM y además se haría en dos terceras partes con recursos privados. AMLO, sin embargo, decidió cancelarlo por razones políticas",Negativo
54,"  Estimados chairos, aún con su título profesional otorgado por las escuelas patito de AMLO van a ser mediocres si no estudian. El hábito no hace al monje. Más les vale chingarle en la vida para obtener resultados.",Negativo
55,"Decepcionante visita de @lopezobrador_ a Minatitlán. No le dio la cara a las víctimas, no las escuchó, no hubo diálogo con ellas. Ignorarlas en el aeropuertos y limitarse a mencionarlas en un mitin es insuficiente e insultante.",Negativo
56," Cuando el Presidente AMLO dice respecto al Reforma, ""ese periodico, si sigue así, va terminar como un pasquín "", empodera a que cualquier mexicano o cualquier periódico diga, ""ese Presidente, si sigue así, va terminar como un pendejo"" !",Negativo
57,  Decepcionado de la #4T al enterarme que el hijo de @lopezobrador_ se exhibe presumiendo autos de millones de dólares después de haber sido captado comprando en tiendas exclusivas de los fifís! #YoConspiro ¡qué tristeza!,Negativo
58," Hace días alguien preguntó en un twit: ""que le dirías a @lopezobrador_ si lo tuvieras enfrente?"" Ésta sin duda sería mi reacción antes de decirle algo,un huevaso",Negativo
59,"Teníamos todo listo para un aeropuerto de primer mundo, trabajos, turismo inversión y que todo eso tendrá que esperar 50 años Muchos de nosotros ni siquiera lo veremos. 500 billones de dólares se esfumaron por capricho de @lopezobrador",Negativo
60,"  Este es un gobierno de simulación de ocurrencia, despilfarran nuestra lana, claro como no es de ellos y ellos nada más roban.",Negativo
61,"  Este gobierno fallido de @lopezobrador_ heredará al país una deuda por 3 800 millones de dólares, 72 503 millones de pesos al tipo de cambio actual que serán pagados en los próximos 19 años, tras la cancelación del NAIM Texcoco",Negativo
62,"Lo que pasa es que ese es un cerro ""fifi"" ""concervador"" que está ahí por culpa de la mafia del poder. AMLO es un fracaso.",Negativo
63,"  Esto es Gobernar ? Filas de chavos que no trabajan ni estudian, en Elektra (Mafia Del Poder) recibiendo su dinero. Pero a los médicos residentes, que trabajan turnos de hasta 36hrs corridas en hospitales, les quitaron su pago mensual por compensación",Negativo
64,"  Una verdadera vergüenza de presidente, y más vergüenza sus acarreados que por una torta se prestan a levantar la manita como perritos domesticados. Debemos estar ya hartos de este teatro...",Negativo
65," De verdad me da mucha tristeza en lo que se ha convertido México, en tan solo 4 meses la violencia está imparable. @lopezobrador_ y #Morena no saben gobernar.",Negativo
66,"Acabaré con la inseguridad a partir del primer minuto del 1ero de diciembre, decía.. @lopezobrador",Negativo
67,"  Verdad que no es lo mismo estár jodiendo 18 años a tener las riendas de un gobierno, aclarecelo a los ilusos y resentidos sociales que engañaron con promesas farsantes, puro atole con el dedo",Negativo
68,Que decepción deben de sentir todos los paisanos que votaron por el.,Negativo
69,  La impunidad y la burla en todo su esplendor.. aún dudan que entre este par había negocios? El señor Lopez se maneja y se manejará así durante todo su sexenio.. pagando favores a quienes le sirven.. y si señores esto tmb es corrupción,Negativo
70,"De verdad creen que todos somos ignorantes como para creer esto? Habemos millones de mexicanos que NO votamos por @lopezobrador_ , porque no somos ignorantes, ni mucho menos tontos. Ya basta, ustedes no saben gobernar.",Negativo
71," Chequen cuates que votaron por don Meme desde USA, chequen cuatachos que le dieron su sufragio con parientes que vienen desde tierras gringas a México a pasar sus vacaciones.",Negativo
72," Chequen cuates que votaron por don Meme desde USA, chequen cuatachos que le dieron su sufragio con parientes que vienen desde tierras gringas a México a pasar sus vacaciones.",Negativo
73,"¿De verdad después de todo lo acontecido en 4 meses y medio, aún hay gente que le crea a @lopezobrador_?",Negativo
74,"A ver chairines, no que el @lopezobrador_ ya había combatido el huachicol? O a caso el tiene otros datos?",Negativo
75,"Mexico unido contra el payaso de @lopezobrador_ , somos más y los que generamos la riqueza a nuestro País, no más",Negativo
76,El presidente @lopezobrador_ demostrando cada día su ineptitud y su desprecio cínico a todo el q lo cuestione.,Negativo
77,"@lopezobrador_ estamos hartos de su mal gobierno, de su incapacidad, de vivir sin un Estado de Derecho! Usted NO me representa, es lo peor que le pudo suceder a México!",Negativo
78," Gran marcha nacional el próximo domingo 5 de mayo a las 11:00 horas en todas las ciudades del país en contra de López Obrador y sus políticas dictatoriales y su falta de respeto a las Instituciones y su incumplimiento de la ley. Reenvíalo, hazlo viral.",Negativo
79,"Hoy México no tiene Presidente, hoy está desamparado, hundido en la injusticia, la violencia, la corrupción y la ineptitud. Cuando @lopezobrador_ deje de culpar a gobiernos pasados de hechos actuales, la unidad dejará de ser discurso y la división no será de facto.",Negativo
80," Desde que se revelaran las cifras del primer bimestre de 2018, éste año toma la delantera como el más violento de los últimas dos décadas con 4 mil 206 carpetas de investigación iniciadas por el delito de homicidio doloso. Miente con lo que le queda de dientes",Negativo
81,"  No soy bot ni me pagan por serlo, yo digo lo que quiero del pendejo, cínico, mentiroso y estupido tramposo del prejidente....!!",Negativo
82," ¿Quién perdonó a los narcos? Ningún expresidente, pero AMLOCO sí ¿Quién perdonó a los huachicolres? Nadie, solo AMLOCO ¿Quien gobierna? AMLOCO ¿Entonces, de quién es la culpa de la inseguridad? De AMLO",Negativo
83,  López evidencia sus contubernios con Elba Esther Gordillo y con los cárteles asesinos. El peor enemigo de México está en la presidencia.,Negativo
84," Cuando carajos vas a empezar a ""Gobernar"" ?? En 5 años?? Deja de echar la culpa y ya ponte a trabajar..Si no puedes mejor renuncia..",Negativo
85, @lopezobrador_ como es que sus hijos pueden ir a comprar tanto en la boutiques tan exclusivas de Hermes si no tienen trabajo y deben ser austeros además de traer tantos guaruras? Gracias por la respuesta,Negativo
86,Tanta mañanera que ya es un castigo para los reporteros asistir. No quiero mas charlas ya es tiempo de dar resultados @lopezobrador_,Negativo
87, Le fallaste a tus seguidores le fallaste ah México no tienes idea de lo que haces y dices,Negativo
88," Y bueno en todos lados le hacen saber que por su culpa se quedaron sin empleo, pasaron gobernadores y presidentes respetando el trabajo de las personas, el se los quito y ni se inmuta",Negativo
89,"El pueblo quita renuncia, estas haciendo del país un desastre eres lo mismo que los demás, hasta peor por que parece que ya no tenemos soberanía nos siguen invadiendo las caravanas, todo tipo de gente viene ahí y tu bien gracias haciendote el tonto.",Negativo
90, Creo q esto de santa Lucía es la mayor estupidez de yn presidente en la historia de verdad no se en q va a parar esto.,Negativo
91,En lo que nos está uniendo eficientemente López es en pedir su renuncia.,Negativo
92,Ese AndyLo candidato que es el peor enemigo del AndyLo presidente. Hablar era tan fácil. Actuar cuando se es incompetente es tan difícil,Negativo
93, Tener un mentiroso inepto y corrupto en México nos costó mucho pero lo logramos..,Negativo
94,"No puedo creer el nivel de prepotencia de @lopezobrador_! Cinico, déspota y desvergonzado!",Negativo
95, Que es más corrupción?? 1- Que tus hijos vagos se conviertan en empresarios chocolateros en tan solo 4 meses?? 2-Que la no primera Dama grabe un disco y sea promocionado por todo el aparato de gobierno???,Negativo
96,"Así tu historia @lopezobrador_ eres lo peor que le pudo pasar a México, nos engañaste.",Negativo
97,"Porque ese idiota de @lopezobrador_ odia tifo lo que se hizo en Gobiernos anteriores...es un inepto, inculto, despreciable, cínico, vividor, corrupto, asesino, está muy mal de sus facultades (?) mentales...",Negativo
98,"Por más de 12 años buscó la presidencia, juró que él era el único que podía dar solución a los grandes males que sufre este país; ahora que por fin ocupa el cargo, en menos de 4 meses demostró que NO PUEDE, que es un incompetente. @lopezobrador_",Negativo
99,"  Basta de culpar a otros, basta de NO asumir su responsabilidad, basta de niños heridos y asesinados, basta de tanta violencia si no puedes mejor renuncia",Negativo
100,  Recuerdas tus comentarios @lopezobrador_ y qué pasa con tu gobierno ??? O solo@llegaste para hacerte tu fortuna un disco y un libro?? Esta cañón tu gobierno!!!,Negativo
101,"Ni cómo ayudarlo mi Judas, traicionando a México, quedando bien con Venezuela y Cuba",Negativo
102," ""a mí me cuida el pueblo bueno"" no está mal que lo cuiden, lo que no se soporta es la propaganda y la mentira. @lopezobrador_ farsante y mentiroso",Negativo
103,tuviste 18 años para prepararse y no puede ni mantener los niveles pasados economía inseguridad inversiones? Y de la gasolina ni hablamos a nivel mundial hay un dólar debilitado que apenas baja,Negativo
104,Es momento de ser grandes es momento de fortalezernos como nación. AMLO no eres nuestro presidente!,Negativo
105,"  o es lo mismo estar todo el tiempo criticando todo Qué tener el poder y no saber que hacer AMLO ha demostrado que no puede y que sus soluciones mágicas de abrazos y de perdón y olvidó, simplemente no sirven ni funcionan",Negativo
106,  eres un mentiroso corrupto y estás rodeado de criminales,Negativo
107,  Este cabrón por dignidad debe renunciar,Negativo
108,  Una recordadita de que estamos en la misma MIERDA estando ya este cabrón como Presidente...,Negativo
109,       Que pasa cuando un anciano demente como @lopezobrador_ manejado por quien sabe quien ? Instaura la Impunidad como sistema de gobierno ? La violencia como nunca antes vista ! en un país que ya era violento en sí !,Negativo
110,"        AMLO tu primer trimestre y 8,495 homicidios, siendo el más sangriento de la historia moderna. Si sabían que no tenían la capacidad y las aptitudes para gobernar ¿Por qué le mentían a la ciudadanía?",Negativo
111,"         Para todos los que se molestan, cuando decimos que estaremos como Venezuela, está más claro que cualquier especulación.",Negativo
112,      ¿Cuándo será el día que nuestro presidente de que hablar por sus aciertos?,Negativo
113,"Si AMLO controla la distribución de medicamentos, tendrá una herramienta más para fortalecer o debilitar a gobernadores. Los estados de los gobernadores “amigos” les llegarán medicamentos antes que a los otros.",Negativo
114,"    Ese amlo tan pendejo, no pudo ver un cerro pero su vio un lago.",Negativo
115,    Tenía que llegar un gobierno diferente como el de AMLO para darnos cuenta de la magnitud de corruptelas que tenían por todos lados las dictaduras del PRIAN.,Negativo
116,"  AMLO pasará a la historia como el héroe mexicano que derrotó al conservadurismo prianista, que estaba saqueando los recursos de la nación y hundiendo en la miseria a los mexicanos. Derrotar al PRIAN es la más grande victoria del pueblo de México, en los tiempos modernos.",Positivo
117,"Si AMLO anunciara que distribuirá en México una vacuna vs el cáncer, la derecha saldría a decir que ellos prefieren el cáncer.",Negativo
118,"   Uno de los triunfos del régimen PRIANISTA, fue hacer que la gente jodida defienda a los burgueses y políticos corruptos que son los causantes de que ellos estén jodidos pero ya el pueblo abrió los ojos y sus conciencias hasta el final con el mero mero AMLO.",Negativo
119,  AMLO el terror del neoliberalismo y sus títeres el PRIAN.,Negativo
120,  El antídoto para un megalómano es no darle más prensa. Se imaginan una mañanera sin periodistas? El Narciso se ahogaría en su soledad.,Negativo
121,malas prácticas se terminan por qué se terminan...una minoría sigue en querer pasarse de listos difamando y mintiendo. Denunciemos a los traidores y revoltosos de las redes.,Positivo
122," Andrés Manuel, estoy segura que estás viendo que el pueblo te AMA. Tu bondad incomoda a los corruptos, pero el que los juzgues, no te restará ni un ápice, esa bondad que tu corazón siempre a tenido.",Positivo
123,¿Cuándo asumirá el cargo de Presidente y dejará el oficio de Historiador de cuarta?,Negativo
124,  Y cuando se va a poner a trabajar el gobernador.,Negativo
125,"  La vieja estrategia de ""yo voté por AMLO pero estoy decepcionado"". No les crean: votaron por Anaya o Meade y además son pésimos actores.",Negativo
126,"Me tocó ver a una joven recibir su primer pago del programa Jóvenes Construyendo el Futuro y su emoción fue evidente y casi tangible. Su segunda frase después de decir ""gracias a Dios"" fue ""ahora si pagaré mi renta a tiempo"".",Positivo
127,"    40 años luchando bajo las inclemencias del tiempo y arriesgando la vida por un México mejor y más justo. Para que unos cuántos tarados a la primera de cambios y desde la comodidad de su sofa digan-""Me arrepiento de haber""votado""por AMLO""",Positivo
128,"12 mil millones de pesos se han ahorrado a PEMEX en huachicol. Cada maldito segundo se hacían millonarios los hijos de la chinada mientras el pueblo, muriendose de hambre! Por éso no deja de ladrar la oposición bananera. ""Azi no anlo"".",Negativo
129,"Dicen los panistas que ya se arrepintieron de haber votado por AMLO. Diganles que antes de mentir, borren todo vestigio de su adoración por Anaya y Calderón.",Positivo
130,"  Durante el prianismo, en tiempos de elecciones se decía, "" ya sabemos quién va a aganar""; cuando asesinaron a Colosio, ""ya sabemos quién fue""; en estos días, "" ahora sí se los chingó AMLO"".",Positivo
131,"Aquí nadie se baja del barco, ni se arrepiente de votar por @lopezobrador_ En particular, esperé y aguanté mucho para poner a AMLO en la presidencia, junto con los millones q votamos por él.",Positivo
132,Así todos contigo aún en la buena y en las malas por que soy consciente de que te dejamos mal a México @lopezobrador.,Positivo
133,"  AMLO se que de la noche a la mañana no se transforma todo un país, tengo esperanza poco a poco.",Positivo
134,"Años de violencia no se borran de la noche a la mañana, solo con voluntad de todo este infierno heredado podrá terminar.",Positivo
135,   Ésto es lo que les duele al PRIANAsesino que a @lopezobrador_ que el pueblo lo ame.,Positivo
136,"Sabíamos q no iba a ser fácil, conspiraron en 2 ocasiones para q no llegaras a la presidencia a transparentar y señalar a quienes tanto daño han hecho al país. Hoy q estás al frente,las causalidades no dan tregua,sabemos quiénes están detrás. Estamos con AMLO. ",Positivo
137,AMLO  no te daremos la espalda en tu lucha contra la corrupción y la violencia.,Positivo
138,131.                     Nos costó años de lucha pero hoy tenemos al mejor Presidente de México y se llama Andrés Manuel López Obrador.,Positivo
139,"""Nos entregaron un país en crisis, un cochinero... pero lo estamos limpiando"", dice @lopezobrador_.",Positivo
140,"Amigos Twitter está haciendo trampa, sube los HT del PRIAN y baja los de AMLO, ya sabemos de quien es Twitter, no más mentiras, urge DENUNCIARLO por corrupto y tramposo, pero se necesita hacer la denuncia en la PLAY STORE.",Negativo
141,"Por más que compren voluntades e inviertan en inflar “hashtag”, no podrán con el amor que el pueblo le tiene a @lopezobrador_",Positivo
142,"    El presidente lleva a cuestas una tarea difícil, la herencia de violencia que dejó Calderón y Peña es muy profunda, confío en que Andrés Manuel está trabajando en pacificar al país aunque la derecha no lo desea, pues quieren ver fracasar al gobierno, ogts.",Positivo
143,"    Nunca antes, México ha tenido un Presidente con tal respaldo como ahora, luchamos contigo, de norte a sur, de este a oeste, con nuestro Presidente.",Positivo
144,"Sin tantas palabras, hoy más que nunca, estoy con México, estoy con AMLO.",Positivo
145,"     Aunque les duela vamos poco a poco a mejorar la situación del pais. Ya lo dijo AMLO, ""Ténganme paciencia y confianza. Nos entregaron un país en quiebra."" Esa oposición está desesperada porque se les acaba lo que se robaron.",Positivo
146,"Por qué eres parte del pueblo del ciudadano de a pie , por qué eres honrado, eres sin duda un ejemplo a seguir AMLO",Positivo
147,"  Basta ver como te adoran en las plazas en las que te presentas; todos te quieren saludar y tomarse una 'selfie' contigo. Eso provoca que los derechangos, comentócratas y chayoteros echen espuma por la boca. No tengas la menor duda AMLO",Positivo
148,AMLO somos mas los buenos los que aun creemos que en cuatro meses no se va a acabar toda la mierda de decadas y decadas del priismo.,Positivo
149,Por ser el unico presidente en enfrentar a los asesinos prianistas de nuestro Mexico.,Positivo
150,"  Eres un gran hombre por eso vote por ti, que orgullosa estoy de que seas mi Presidente, llevas el corazón en la mano.",Positivo
151,"  Unos zapatos que valen oro, y no por lo material, sino por todo el camino que han recorrido, todas las cargas que llevan consigo, pero sobre todo las esperanzas que nos han dado. Gracias AMLO por llevar esos zapatos para tener un mejor país.",Positivo
152,AMLO estas cayendo poco a poco en el mismo mugrero en la que se desenvolvió la mafiadelpoder.,Negativo
153,"Pregunta seria, ya no hay huachicoleros? Ojalá en las mañaneras AMLO también dijera los horóscopos y números de la suerte",Negativo
154,AMLO Rompe un récord más apenas 140 dias de gobierno y México ya pide su renuncia.,Negativo
155,"  No se les olvide que ahora el presidente de Mexico es @lopezobrador_ . Esperamos resultados de su gobierno, combate a la corrupción, a la impunidad y disminución de la inseguridad.",Negativo
156,"149.                     Si lo único que pueden criticarle a AMLO son sus zapatos, es un reconocimiento implícito a su buen trabajo",Positivo
157,  A mi no me caía AMLO (solo por comentarios) pero de él me habló la señora que me ayuda en el aseo de mi casa y zaz! que me voy enterando que estaba equivocada. Comencé a leer más de política afortunadamente lo hice en redes sociales. No me contaminé de medios chayoteros.,Positivo
158,"151.                     Es la primera vez en la historia de México que vamos a un cambio de régimen. Es complejo por intereses, vicios e inercias. El viejo régimen está detrás de esta campaña contra AMLO. Atacar por todo al nuevo gobierno afecta al país. Son dos opciones: ayudar o estorbar.",Positivo
159,"  Tssssss ¿Qué creen? somos mexicanos incansables, antes no nos rendimos ahora menos ,Amlo es el Presidente y trabaja con amor para todos los mexicanos aunque algunos no se dan cuenta",Positivo
160,"  Hay una cosa en la vida que no se puede perder y se llama DIGNIDAD. Parece ser que tu fanatismo no te permite ver que hace ya un tiempo la has perdido. Es patética tu defensa hacía un tipo como AMLO y su gobierno, donde que lo único que ha mostrado es una gran incapacidad.",Negativo
161,"El coraje que tiene la derechairiza en contra de los zapatos de AMLO, es sencillo de entender: Saben perfectamente que esos zapatos les quedan/quedarán muy grandes y no tienen/tendrán un Presidente que pueda ""llenarlos"".",Negativo
162,"Las vacaciones de AMLO son: austeras sin pretensiones, pero en Facholandia son sus vacaciones a todo lujo con sus amigos los empresarios millonarios. Así de rancia y mezquina es la oposición.",Negativo
163,"Unos zapatos que valen oro, y no por lo material, sino por todo el camino que han recorrido, todas las cargas que llevan consigo, pero sobre todo las esperanzas que nos han dado. Gracias AMLO por llevar esos zapatos para tener un mejor país.",Positivo
